发送时间：2019-08-14 16:13:43 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2019-08-14 16:27:26 	 服务器地址：http://192.168.10.46:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 500: Internal Server Error 
发送时间：2019-08-14 16:28:32 	 服务器地址：http://192.168.10.46:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 500: Internal Server Error 
发送时间：2019-08-14 16:29:04 	 服务器地址：http://192.168.10.46:8000/assets/report/ 	 返回结果：200 ok 
发送时间：2019-08-14 16:53:22 	 服务器地址：http://192.168.10.46:8000/assets/report/ 	 返回结果：200 ok 
发送时间：2019-08-14 16:55:32 	 服务器地址：http://192.168.10.46:8000/assets/report/ 	 返回结果：200 ok 
发送时间：2019-08-14 22:25:46 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:27:24 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:29:05 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:29:29 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域111！ 
发送时间：2019-08-14 22:29:51 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:30:22 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:30:56 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:32:16 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:32:59 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:33:48 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:34:45 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:35:51 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:37:44 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:38:01 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:38:16 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:38:32 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
发送时间：2019-08-14 22:39:07 	 服务器地址：http://192.168.249.76:8000/assets/report/ 	 返回结果：资产已经加入或者更新待审批区域！ 
